"","AirportName","City","Country","Week","Percent.wk","Month","Percent.mo"
"1","Kingsford Smith","Sydney","Australia",14,59.5714285714286,4,53.2413793103448
"2","Kingsford Smith","Sydney","Australia",15,38,4,53.2413793103448
"3","Kingsford Smith","Sydney","Australia",28,54.2857142857143,7,46.258064516129
"4","Kingsford Smith","Sydney","Australia",36,14.8571428571429,9,16.4
"5","Kingsford Smith","Sydney","Australia",44,20.2857142857143,10,19.3870967741935
"6","Kingsford Smith","Sydney","Australia",15,38,4,53.2413793103448
"7","Kingsford Smith","Sydney","Australia",20,50.1428571428571,5,49.1290322580645
"8","Kingsford Smith","Sydney","Australia",27,54,7,46.258064516129
"9","Kingsford Smith","Sydney","Australia",32,21,8,17.7931034482759
"10","Kingsford Smith","Sydney","Australia",47,24.5714285714286,11,23.8275862068966
"11","Kingsford Smith","Sydney","Australia",25,51.7142857142857,6,52.5172413793103
"12","Kingsford Smith","Sydney","Australia",32,21,8,17.7931034482759
"13","Kingsford Smith","Sydney","Australia",40,15.5714285714286,10,19.3870967741935
"14","Kingsford Smith","Sydney","Australia",43,20.4285714285714,10,19.3870967741935
"15","Kingsford Smith","Sydney","Australia",45,21.5,11,23.8275862068966
"16","Kingsford Smith","Sydney","Australia",45,21.5,11,23.8275862068966
"17","Kingsford Smith","Sydney","Australia",46,22.8571428571429,11,23.8275862068966
"18","Kingsford Smith","Sydney","Australia",48,27.8571428571429,11,23.8275862068966
"19","Kingsford Smith","Sydney","Australia",13,73.5714285714286,3,83.125
"20","Kingsford Smith","Sydney","Australia",14,59.5714285714286,4,53.2413793103448
"21","Kingsford Smith","Sydney","Australia",27,54,7,46.258064516129
"22","Kingsford Smith","Sydney","Australia",27,54,7,46.258064516129
"23","Kingsford Smith","Sydney","Australia",29,51.8571428571429,7,46.258064516129
"24","Kingsford Smith","Sydney","Australia",17,56.8333333333333,4,53.2413793103448
"25","Kingsford Smith","Sydney","Australia",19,47.1428571428571,5,49.1290322580645
"26","Kingsford Smith","Sydney","Australia",22,52.5714285714286,5,49.1290322580645
"27","Kingsford Smith","Sydney","Australia",29,51.8571428571429,7,46.258064516129
"28","Kingsford Smith","Sydney","Australia",31,19.7142857142857,8,17.7931034482759
"29","Kingsford Smith","Sydney","Australia",33,18.1666666666667,8,17.7931034482759
"30","Kingsford Smith","Sydney","Australia",38,17.7142857142857,9,16.4
"31","Kingsford Smith","Sydney","Australia",38,17.7142857142857,9,16.4
"32","Kingsford Smith","Sydney","Australia",11,91,3,83.125
"33","Kingsford Smith","Sydney","Australia",12,90.4285714285714,3,83.125
"34","Kingsford Smith","Sydney","Australia",28,54.2857142857143,7,46.258064516129
"35","Kingsford Smith","Sydney","Australia",14,59.5714285714286,4,53.2413793103448
"36","Kingsford Smith","Sydney","Australia",15,38,4,53.2413793103448
"37","Kingsford Smith","Sydney","Australia",29,51.8571428571429,7,46.258064516129
"38","Kingsford Smith","Sydney","Australia",14,59.5714285714286,4,53.2413793103448
"39","Kingsford Smith","Sydney","Australia",16,56.5714285714286,4,53.2413793103448
"40","Kingsford Smith","Sydney","Australia",22,52.5714285714286,5,49.1290322580645
"41","Kingsford Smith","Sydney","Australia",34,15.5714285714286,8,17.7931034482759
"42","Kingsford Smith","Sydney","Australia",42,18.4285714285714,10,19.3870967741935
"43","Kingsford Smith","Sydney","Australia",47,24.5714285714286,11,23.8275862068966
"44","Kingsford Smith","Sydney","Australia",20,50.1428571428571,5,49.1290322580645
"45","Kingsford Smith","Sydney","Australia",24,55.1428571428571,6,52.5172413793103
"46","Kingsford Smith","Sydney","Australia",27,54,7,46.258064516129
"47","Kingsford Smith","Sydney","Australia",31,19.7142857142857,7,46.258064516129
"48","Kingsford Smith","Sydney","Australia",38,17.7142857142857,9,16.4
"49","Kingsford Smith","Sydney","Australia",48,27.8571428571429,11,23.8275862068966
"50","Kingsford Smith","Sydney","Australia",14,59.5714285714286,4,53.2413793103448
"51","Kingsford Smith","Sydney","Australia",17,56.8333333333333,4,53.2413793103448
"52","Kingsford Smith","Sydney","Australia",12,90.4285714285714,3,83.125
"53","Kingsford Smith","Sydney","Australia",18,55,5,49.1290322580645
"54","Kingsford Smith","Sydney","Australia",36,14.8571428571429,9,16.4
"55","Kingsford Smith","Sydney","Australia",45,21.5,11,23.8275862068966
"56","Kingsford Smith","Sydney","Australia",48,27.8571428571429,11,23.8275862068966
"57","Kingsford Smith","Sydney","Australia",17,56.8333333333333,4,53.2413793103448
"58","Kingsford Smith","Sydney","Australia",22,52.5714285714286,6,52.5172413793103
"59","Kingsford Smith","Sydney","Australia",23,45,6,52.5172413793103
"60","Kingsford Smith","Sydney","Australia",27,54,7,46.258064516129
"61","Kingsford Smith","Sydney","Australia",28,54.2857142857143,7,46.258064516129
"62","Kingsford Smith","Sydney","Australia",35,15.5,8,17.7931034482759
"63","Kingsford Smith","Sydney","Australia",38,17.7142857142857,9,16.4
"64","Kingsford Smith","Sydney","Australia",40,15.5714285714286,10,19.3870967741935
"65","Kingsford Smith","Sydney","Australia",44,20.2857142857143,10,19.3870967741935
"66","Kingsford Smith","Sydney","Australia",12,90.4285714285714,3,83.125
"67","Kingsford Smith","Sydney","Australia",26,55.8571428571429,6,52.5172413793103
"68","Kingsford Smith","Sydney","Australia",34,15.5714285714286,8,17.7931034482759
"69","Kingsford Smith","Sydney","Australia",39,15.4285714285714,9,16.4
"70","Kingsford Smith","Sydney","Australia",24,55.1428571428571,6,52.5172413793103
"71","Kingsford Smith","Sydney","Australia",27,54,7,46.258064516129
"72","Kingsford Smith","Sydney","Australia",41,21.4285714285714,10,19.3870967741935
"73","Kingsford Smith","Sydney","Australia",18,55,5,49.1290322580645
"74","Kingsford Smith","Sydney","Australia",19,47.1428571428571,5,49.1290322580645
"75","Kingsford Smith","Sydney","Australia",25,51.7142857142857,6,52.5172413793103
"76","Kingsford Smith","Sydney","Australia",29,51.8571428571429,7,46.258064516129
"77","Kingsford Smith","Sydney","Australia",37,17.8571428571429,9,16.4
"78","Kingsford Smith","Sydney","Australia",15,38,4,53.2413793103448
"79","Kingsford Smith","Sydney","Australia",18,55,5,49.1290322580645
"80","Kingsford Smith","Sydney","Australia",20,50.1428571428571,5,49.1290322580645
"81","Kingsford Smith","Sydney","Australia",28,54.2857142857143,7,46.258064516129
"82","Kingsford Smith","Sydney","Australia",30,35.4285714285714,7,46.258064516129
"83","Kingsford Smith","Sydney","Australia",35,15.5,8,17.7931034482759
"84","Kingsford Smith","Sydney","Australia",40,15.5714285714286,9,16.4
"85","Kingsford Smith","Sydney","Australia",12,90.4285714285714,3,83.125
"86","Kingsford Smith","Sydney","Australia",16,56.5714285714286,4,53.2413793103448
"87","Kingsford Smith","Sydney","Australia",21,46.7142857142857,5,49.1290322580645
"88","Kingsford Smith","Sydney","Australia",39,15.4285714285714,9,16.4
"89","Kingsford Smith","Sydney","Australia",41,21.4285714285714,10,19.3870967741935
"90","Kingsford Smith","Sydney","Australia",48,27.8571428571429,11,23.8275862068966
"91","Kingsford Smith","Sydney","Australia",24,55.1428571428571,6,52.5172413793103
"92","Kingsford Smith","Sydney","Australia",13,73.5714285714286,3,83.125
"93","Kingsford Smith","Sydney","Australia",24,55.1428571428571,6,52.5172413793103
"94","Kingsford Smith","Sydney","Australia",26,55.8571428571429,6,52.5172413793103
"95","Kingsford Smith","Sydney","Australia",26,55.8571428571429,6,52.5172413793103
"96","Kingsford Smith","Sydney","Australia",36,14.8571428571429,9,16.4
"97","Kingsford Smith","Sydney","Australia",46,22.8571428571429,11,23.8275862068966
"98","Kingsford Smith","Sydney","Australia",18,55,4,53.2413793103448
"99","Kingsford Smith","Sydney","Australia",20,50.1428571428571,5,49.1290322580645
"100","Kingsford Smith","Sydney","Australia",22,52.5714285714286,6,52.5172413793103
"101","Kingsford Smith","Sydney","Australia",29,51.8571428571429,7,46.258064516129
"102","Kingsford Smith","Sydney","Australia",41,21.4285714285714,10,19.3870967741935
"103","Kingsford Smith","Sydney","Australia",41,21.4285714285714,10,19.3870967741935
"104","Kingsford Smith","Sydney","Australia",21,46.7142857142857,5,49.1290322580645
"105","Kingsford Smith","Sydney","Australia",24,55.1428571428571,6,52.5172413793103
"106","Kingsford Smith","Sydney","Australia",40,15.5714285714286,10,19.3870967741935
"107","Kingsford Smith","Sydney","Australia",46,22.8571428571429,11,23.8275862068966
"108","Kingsford Smith","Sydney","Australia",25,51.7142857142857,6,52.5172413793103
"109","Kingsford Smith","Sydney","Australia",27,54,7,46.258064516129
"110","Kingsford Smith","Sydney","Australia",33,18.1666666666667,8,17.7931034482759
"111","Kingsford Smith","Sydney","Australia",37,17.8571428571429,9,16.4
"112","Kingsford Smith","Sydney","Australia",47,24.5714285714286,11,23.8275862068966
"113","Kingsford Smith","Sydney","Australia",22,52.5714285714286,5,49.1290322580645
"114","Kingsford Smith","Sydney","Australia",29,51.8571428571429,7,46.258064516129
"115","Kingsford Smith","Sydney","Australia",31,19.7142857142857,8,17.7931034482759
"116","Kingsford Smith","Sydney","Australia",33,18.1666666666667,8,17.7931034482759
"117","Kingsford Smith","Sydney","Australia",34,15.5714285714286,8,17.7931034482759
"118","Kingsford Smith","Sydney","Australia",34,15.5714285714286,8,17.7931034482759
"119","Kingsford Smith","Sydney","Australia",40,15.5714285714286,10,19.3870967741935
"120","Kingsford Smith","Sydney","Australia",32,21,8,17.7931034482759
"121","Kingsford Smith","Sydney","Australia",37,17.8571428571429,9,16.4
"122","Kingsford Smith","Sydney","Australia",42,18.4285714285714,10,19.3870967741935
"123","Kingsford Smith","Sydney","Australia",43,20.4285714285714,10,19.3870967741935
"124","Kingsford Smith","Sydney","Australia",46,22.8571428571429,11,23.8275862068966
"125","Kingsford Smith","Sydney","Australia",15,38,4,53.2413793103448
"126","Kingsford Smith","Sydney","Australia",19,47.1428571428571,5,49.1290322580645
"127","Kingsford Smith","Sydney","Australia",24,55.1428571428571,6,52.5172413793103
"128","Kingsford Smith","Sydney","Australia",32,21,8,17.7931034482759
"129","Kingsford Smith","Sydney","Australia",42,18.4285714285714,10,19.3870967741935
"130","Kingsford Smith","Sydney","Australia",12,90.4285714285714,3,83.125
"131","Kingsford Smith","Sydney","Australia",25,51.7142857142857,6,52.5172413793103
"132","Kingsford Smith","Sydney","Australia",38,17.7142857142857,9,16.4
"133","Kingsford Smith","Sydney","Australia",41,21.4285714285714,10,19.3870967741935
"134","Kingsford Smith","Sydney","Australia",19,47.1428571428571,5,49.1290322580645
"135","Kingsford Smith","Sydney","Australia",23,45,6,52.5172413793103
"136","Kingsford Smith","Sydney","Australia",31,19.7142857142857,8,17.7931034482759
"137","Kingsford Smith","Sydney","Australia",34,15.5714285714286,8,17.7931034482759
"138","Kingsford Smith","Sydney","Australia",39,15.4285714285714,9,16.4
"139","Kingsford Smith","Sydney","Australia",16,56.5714285714286,4,53.2413793103448
"140","Kingsford Smith","Sydney","Australia",19,47.1428571428571,5,49.1290322580645
"141","Kingsford Smith","Sydney","Australia",36,14.8571428571429,9,16.4
"142","Kingsford Smith","Sydney","Australia",37,17.8571428571429,9,16.4
"143","Kingsford Smith","Sydney","Australia",12,90.4285714285714,3,83.125
"144","Kingsford Smith","Sydney","Australia",17,56.8333333333333,4,53.2413793103448
"145","Kingsford Smith","Sydney","Australia",18,55,5,49.1290322580645
"146","Kingsford Smith","Sydney","Australia",19,47.1428571428571,5,49.1290322580645
"147","Kingsford Smith","Sydney","Australia",43,20.4285714285714,10,19.3870967741935
"148","Kingsford Smith","Sydney","Australia",45,21.5,11,23.8275862068966
"149","Kingsford Smith","Sydney","Australia",21,46.7142857142857,5,49.1290322580645
"150","Kingsford Smith","Sydney","Australia",30,35.4285714285714,7,46.258064516129
"151","Kingsford Smith","Sydney","Australia",37,17.8571428571429,9,16.4
"152","Kingsford Smith","Sydney","Australia",46,22.8571428571429,11,23.8275862068966
"153","Kingsford Smith","Sydney","Australia",47,24.5714285714286,11,23.8275862068966
"154","Kingsford Smith","Sydney","Australia",16,56.5714285714286,4,53.2413793103448
"155","Kingsford Smith","Sydney","Australia",33,18.1666666666667,8,17.7931034482759
"156","Kingsford Smith","Sydney","Australia",42,18.4285714285714,10,19.3870967741935
"157","Kingsford Smith","Sydney","Australia",20,50.1428571428571,5,49.1290322580645
"158","Kingsford Smith","Sydney","Australia",39,15.4285714285714,9,16.4
"159","Kingsford Smith","Sydney","Australia",45,21.5,11,23.8275862068966
"160","Kingsford Smith","Sydney","Australia",18,55,4,53.2413793103448
"161","Kingsford Smith","Sydney","Australia",18,55,5,49.1290322580645
"162","Kingsford Smith","Sydney","Australia",26,55.8571428571429,6,52.5172413793103
"163","Kingsford Smith","Sydney","Australia",32,21,8,17.7931034482759
"164","Kingsford Smith","Sydney","Australia",36,14.8571428571429,9,16.4
"165","Kingsford Smith","Sydney","Australia",38,17.7142857142857,9,16.4
"166","Kingsford Smith","Sydney","Australia",48,27.8571428571429,12,24
"167","Kingsford Smith","Sydney","Australia",15,38,4,53.2413793103448
"168","Kingsford Smith","Sydney","Australia",25,51.7142857142857,6,52.5172413793103
"169","Kingsford Smith","Sydney","Australia",25,51.7142857142857,6,52.5172413793103
"170","Kingsford Smith","Sydney","Australia",33,18.1666666666667,8,17.7931034482759
"171","Kingsford Smith","Sydney","Australia",48,27.8571428571429,11,23.8275862068966
"172","Kingsford Smith","Sydney","Australia",11,91,3,83.125
"173","Kingsford Smith","Sydney","Australia",13,73.5714285714286,3,83.125
"174","Kingsford Smith","Sydney","Australia",13,73.5714285714286,3,83.125
"175","Kingsford Smith","Sydney","Australia",35,15.5,8,17.7931034482759
"176","Kingsford Smith","Sydney","Australia",21,46.7142857142857,5,49.1290322580645
"177","Kingsford Smith","Sydney","Australia",26,55.8571428571429,6,52.5172413793103
"178","Kingsford Smith","Sydney","Australia",31,19.7142857142857,7,46.258064516129
"179","Kingsford Smith","Sydney","Australia",32,21,8,17.7931034482759
"180","Kingsford Smith","Sydney","Australia",39,15.4285714285714,9,16.4
"181","Kingsford Smith","Sydney","Australia",41,21.4285714285714,10,19.3870967741935
"182","Kingsford Smith","Sydney","Australia",46,22.8571428571429,11,23.8275862068966
"183","Kingsford Smith","Sydney","Australia",12,90.4285714285714,3,83.125
"184","Kingsford Smith","Sydney","Australia",13,73.5714285714286,3,83.125
"185","Kingsford Smith","Sydney","Australia",16,56.5714285714286,4,53.2413793103448
"186","Kingsford Smith","Sydney","Australia",16,56.5714285714286,4,53.2413793103448
"187","Kingsford Smith","Sydney","Australia",28,54.2857142857143,7,46.258064516129
"188","Kingsford Smith","Sydney","Australia",29,51.8571428571429,7,46.258064516129
"189","Kingsford Smith","Sydney","Australia",35,15.5,9,16.4
"190","Kingsford Smith","Sydney","Australia",37,17.8571428571429,9,16.4
"191","Kingsford Smith","Sydney","Australia",40,15.5714285714286,10,19.3870967741935
"192","Kingsford Smith","Sydney","Australia",44,20.2857142857143,10,19.3870967741935
"193","Kingsford Smith","Sydney","Australia",44,20.2857142857143,11,23.8275862068966
"194","Kingsford Smith","Sydney","Australia",17,56.8333333333333,4,53.2413793103448
"195","Kingsford Smith","Sydney","Australia",23,45,6,52.5172413793103
"196","Kingsford Smith","Sydney","Australia",35,15.5,8,17.7931034482759
"197","Kingsford Smith","Sydney","Australia",43,20.4285714285714,10,19.3870967741935
"198","Kingsford Smith","Sydney","Australia",47,24.5714285714286,11,23.8275862068966
"199","Kingsford Smith","Sydney","Australia",49,27,12,24
"200","Kingsford Smith","Sydney","Australia",21,46.7142857142857,5,49.1290322580645
"201","Kingsford Smith","Sydney","Australia",23,45,6,52.5172413793103
"202","Kingsford Smith","Sydney","Australia",15,38,4,53.2413793103448
"203","Kingsford Smith","Sydney","Australia",26,55.8571428571429,6,52.5172413793103
"204","Kingsford Smith","Sydney","Australia",30,35.4285714285714,7,46.258064516129
"205","Kingsford Smith","Sydney","Australia",31,19.7142857142857,7,46.258064516129
"206","Kingsford Smith","Sydney","Australia",43,20.4285714285714,10,19.3870967741935
"207","Kingsford Smith","Sydney","Australia",47,24.5714285714286,11,23.8275862068966
"208","Kingsford Smith","Sydney","Australia",48,27.8571428571429,11,23.8275862068966
"209","Kingsford Smith","Sydney","Australia",17,56.8333333333333,4,53.2413793103448
"210","Kingsford Smith","Sydney","Australia",30,35.4285714285714,7,46.258064516129
"211","Kingsford Smith","Sydney","Australia",33,18.1666666666667,8,17.7931034482759
"212","Kingsford Smith","Sydney","Australia",34,15.5714285714286,8,17.7931034482759
"213","Kingsford Smith","Sydney","Australia",44,20.2857142857143,11,23.8275862068966
"214","Kingsford Smith","Sydney","Australia",45,21.5,11,23.8275862068966
